is_female,age,race,employment_income,interest_dividend_income,pension_income,transformed_networth,wgt
1,70,1,0.0,54.04559118236473,38804.73446893787,14.611773737137403,3027.9561204634942
1,70,1,0.0,54.04559118236473,37183.36673346694,10.518727244949929,3054.9000651229826
1,70,1,0.0,54.04559118236473,35021.54308617234,12.454103912367385,3163.6377656935083
1,70,1,0.0,54.04559118236473,32427.354709418836,5.8916518427631175,3166.228463262177
1,70,1,0.0,54.04559118236473,35561.998997995994,12.821690623588179,3235.6247147258646
0,46,1,9836.29759519038,0.0,0.0,12.821690623588179,236.63475408400458
0,46,1,9836.29759519038,0.0,0.0,12.107356672621473,245.84839801710018
0,46,1,9944.38877755511,0.0,0.0,13.87377946608914,253.1034770119427
0,46,1,9836.29759519038,0.0,0.0,15.199607506540726,252.90811794901987
0,46,1,9836.29759519038,0.0,0.0,14.170692387763161,253.81131150645962
0,68,1,0.0,326651.5531062124,76744.73947895791,12.206072645555174,678.8693074694265
0,68,1,0.0,321030.81162324647,95120.24048096192,13.465385544891289,671.8323703623448
0,68,1,0.0,318577.14178356715,98362.9759519038,13.476142131432931,619.9533487808426
0,68,1,0.0,305465.68136272545,95120.24048096192,13.371408566243622,691.5135947966958
0,68,1,0.0,381994.23847695393,72421.09218436874,11.005427631572848,671.7729155681716
1,74,1,0.0,12970.941883767535,139437.625250501,12.54325891289778,621.9488538943858
1,74,1,0.0,9512.024048096193,139437.625250501,13.100526682799332,653.2911760285475
1,74,1,0.0,6377.379759519038,139437.625250501,14.231856257169085,597.1690739714556
1,74,1,0.0,6377.379759519038,139437.625250501,14.143417646780824,611.8923897958964
1,74,1,0.0,5404.559118236473,139437.625250501,13.20560097597777,612.0693479154959
1,19,2,57288.32665330661,0.0,0.0,9.107199625347661,7191.481108679977
1,19,2,57288.32665330661,0.0,0.0,14.126371903363998,7352.48720467721
1,19,2,60531.0621242485,0.0,0.0,13.310998296257619,7270.703540673554
1,19,2,67016.53306613227,0.0,0.0,12.38839420234149,7383.866596488243
1,19,2,60531.0621242485,0.0,0.0,12.474571898579793,7330.537668639445
0,74,1,0.0,39453.28156312625,142680.36072144288,13.11927862444643,3486.222887985491
0,74,1,0.0,45938.75250501002,121386.39779559118,13.797346587337639,3675.3832071356264
0,74,1,0.0,28644.163326653306,136519.1633266533,8.31385232747125,3839.7629768311913
0,74,1,0.0,52424.22344689379,134141.15731462926,10.505067540321193,3695.6583057346784
0,74,1,0.0,28644.163326653306,145382.6402805611,12.943236711512617,3530.778201558785
0,52,1,1026866.2324649298,230234.21843687375,0.0,13.1235626579838,58.66907603843963
0,52,1,1080911.8236472947,225910.57114228458,0.0,12.876002374920482,57.86339894680526
0,52,1,969577.9058116232,204292.33466933868,0.0,15.6639653708689,58.18272060893567
0,52,1,1091720.9418837675,206454.15831663326,0.0,14.325575892784217,59.451973116722435
0,52,1,1064698.1462925852,214020.54108216433,0.0,13.830280936868695,59.19887069018463
1,60,2,0.0,0.0,25941.88376753507,-8.651374403467482,2459.293217566148
1,60,2,0.0,0.0,25941.88376753507,14.61589648919402,2472.8364155937998
1,60,2,0.0,0.0,25941.88376753507,9.19217641171847,2435.5703354368648
1,60,2,0.0,0.0,25941.88376753507,13.728862751239792,2476.151192937278
1,60,2,0.0,0.0,25941.88376753507,13.89061803045194,2441.12812922322
0,43,1,237800.6012024048,0.0,0.0,-8.389359871559241,3550.9413483100734
0,43,1,237800.6012024048,0.0,0.0,13.583578500618575,3645.393884725729
0,43,1,237800.6012024048,0.0,0.0,14.277733999891444,3789.185845712552
0,43,1,237800.6012024048,0.0,0.0,12.90817956746773,3639.1057309419775
0,43,1,237800.6012024048,0.0,0.0,11.948596415177297,2203.16836073048
0,67,1,0.0,0.0,27022.795591182366,14.44975663060434,7792.679093056645
0,67,1,0.0,0.0,27022.795591182366,16.24912391336473,7003.49169885031
0,67,1,0.0,0.0,27022.795591182366,15.82809088313691,7158.27555679317
0,67,1,0.0,0.0,27022.795591182366,6.5510823758534835,7408.690446454459
0,67,1,0.0,0.0,27022.795591182366,14.319311566793665,7082.994739438186
0,46,1,185916.83366733466,0.0,0.0,-11.623392918076377,1823.1367549731253
0,46,1,185916.83366733466,0.0,0.0,12.57071575913014,1643.7730847615671
0,46,1,185916.83366733466,0.0,0.0,14.020815951149267,1723.3107210767726
0,46,1,185916.83366733466,0.0,0.0,12.546750312646546,1778.579779687817
0,46,1,185916.83366733466,0.0,0.0,14.536126980514,1613.7292722171596
1,51,1,34589.178356713426,0.0,0.0,9.95246817702446,6265.227623408862
1,51,1,28103.70741482966,0.0,0.0,12.660327917817849,6259.518781948848
1,51,1,37831.91382765531,0.0,0.0,12.437184366509307,6296.717403782173
1,51,1,43236.47294589179,0.0,0.0,-13.175335262174032,6276.211110143882
1,51,1,35670.09018036072,0.0,0.0,11.034889664287375,6272.771190597536
0,77,1,0.0,3675.1002004008014,14592.309619238476,-11.691573616467831,3681.559296658824
0,77,1,0.0,2378.0060120240482,16754.133266533066,10.491274218209853,3487.096023311659
0,77,1,0.0,2918.4619238476953,18699.774549098198,11.608417446512064,2111.2501744959864
0,77,1,0.0,1405.185370741483,21077.780561122243,13.719440089214752,2143.147385272881
0,77,1,0.0,1405.185370741483,30481.71342685371,13.60244109222307,2194.231996549065
1,57,2,48641.03206412826,0.0,0.0,14.69854229030276,4004.2661923563783
1,57,2,48641.03206412826,0.0,0.0,14.850827996260197,6010.719396117265
1,57,2,48641.03206412826,0.0,0.0,15.050923888124613,6214.2784758809785
1,57,2,48641.03206412826,0.0,0.0,14.046923820761569,6054.5048226974295
1,57,2,48641.03206412826,0.0,0.0,15.200679285796717,6133.281260817186
1,30,1,113495.74148296592,237.8006012024048,0.0,14.425276129585464,18445.54849556913
1,30,1,116738.47695390781,237.8006012024048,0.0,13.600583161422941,17881.63483791398
1,30,1,119981.2124248497,237.8006012024048,0.0,4.605270170991424,18238.611944055243
1,30,1,108091.18236472947,237.8006012024048,0.0,4.9558766472470746,18054.486858589407
1,30,1,119981.2124248497,237.8006012024048,0.0,12.99996972919537,17999.906087410924
0,56,3,52964.67935871743,0.0,0.0,13.210374254730397,3426.3787546928265
0,56,3,47560.12024048096,0.0,0.0,15.172736496586884,3162.4438974529003
