age,employment_income,interest_dividend_income,pension_income,is_female,race,transformed_networth,wgt
70,0.0,54.04559118236473,38804.73446893787,1,1,,1.0
70,0.0,54.04559118236473,35021.54308617234,1,1,,1.0
70,0.0,54.04559118236473,32427.354709418836,1,1,,1.0
70,0.0,54.04559118236473,35561.998997995994,1,1,,1.0
46,9836.29759519038,0.0,0.0,0,1,,1.0
46,9836.29759519038,0.0,0.0,0,1,,1.0
46,9944.38877755511,0.0,0.0,0,1,,1.0
46,9836.29759519038,0.0,0.0,0,1,,1.0
68,0.0,326651.5531062124,76744.73947895791,0,1,,1.0
68,0.0,381994.23847695393,72421.09218436874,0,1,,1.0
74,0.0,12970.941883767535,139437.625250501,1,1,,1.0
74,0.0,6377.379759519038,139437.625250501,1,1,,1.0
74,0.0,5404.559118236473,139437.625250501,1,1,,1.0
19,57288.32665330661,0.0,0.0,1,2,,1.0
19,57288.32665330661,0.0,0.0,1,2,,1.0
19,60531.0621242485,0.0,0.0,1,2,,1.0
19,67016.53306613227,0.0,0.0,1,2,,1.0
74,0.0,45938.75250501002,121386.39779559118,0,1,,1.0
74,0.0,28644.163326653306,136519.1633266533,0,1,,1.0
74,0.0,28644.163326653306,145382.6402805611,0,1,,1.0
52,1026866.2324649298,230234.21843687375,0.0,0,1,,1.0
52,1080911.8236472947,225910.57114228458,0.0,0,1,,1.0
52,969577.9058116232,204292.33466933868,0.0,0,1,,1.0
52,1091720.9418837675,206454.15831663326,0.0,0,1,,1.0
52,1064698.1462925852,214020.54108216433,0.0,0,1,,1.0
60,0.0,0.0,25941.88376753507,1,2,,1.0
60,0.0,0.0,25941.88376753507,1,2,,1.0
60,0.0,0.0,25941.88376753507,1,2,,1.0
60,0.0,0.0,25941.88376753507,1,2,,1.0
60,0.0,0.0,25941.88376753507,1,2,,1.0
43,237800.6012024048,0.0,0.0,0,1,,1.0
43,237800.6012024048,0.0,0.0,0,1,,1.0
43,237800.6012024048,0.0,0.0,0,1,,1.0
43,237800.6012024048,0.0,0.0,0,1,,1.0
67,0.0,0.0,27022.795591182366,0,1,,1.0
67,0.0,0.0,27022.795591182366,0,1,,1.0
67,0.0,0.0,27022.795591182366,0,1,,1.0
67,0.0,0.0,27022.795591182366,0,1,,1.0
46,185916.83366733466,0.0,0.0,0,1,,1.0
46,185916.83366733466,0.0,0.0,0,1,,1.0
46,185916.83366733466,0.0,0.0,0,1,,1.0
46,185916.83366733466,0.0,0.0,0,1,,1.0
51,28103.70741482966,0.0,0.0,1,1,,1.0
51,37831.91382765531,0.0,0.0,1,1,,1.0
51,43236.47294589179,0.0,0.0,1,1,,1.0
51,35670.09018036072,0.0,0.0,1,1,,1.0
77,0.0,2378.0060120240482,16754.133266533066,0,1,,1.0
77,0.0,2918.4619238476953,18699.774549098198,0,1,,1.0
77,0.0,1405.185370741483,21077.780561122243,0,1,,1.0
77,0.0,1405.185370741483,30481.71342685371,0,1,,1.0
57,48641.03206412826,0.0,0.0,1,2,,1.0
57,48641.03206412826,0.0,0.0,1,2,,1.0
57,48641.03206412826,0.0,0.0,1,2,,1.0
30,113495.74148296592,237.8006012024048,0.0,1,1,,1.0
30,116738.47695390781,237.8006012024048,0.0,1,1,,1.0
30,119981.2124248497,237.8006012024048,0.0,1,1,,1.0
30,108091.18236472947,237.8006012024048,0.0,1,1,,1.0
56,47560.12024048096,0.0,0.0,0,3,,1.0
56,29184.619238476953,0.0,0.0,0,3,,1.0
70,0.0,0.0,22699.148296593186,0,2,,1.0
70,0.0,0.0,22699.148296593186,0,2,,1.0
70,0.0,0.0,21618.236472945893,0,2,,1.0
70,0.0,0.0,22699.148296593186,0,2,,1.0
57,64854.70941883767,0.0,16213.677354709418,0,1,,1.0
57,64854.70941883767,0.0,16213.677354709418,0,1,,1.0
57,64854.70941883767,0.0,16213.677354709418,0,1,,1.0
32,43236.47294589179,0.0,0.0,1,1,,1.0
32,43236.47294589179,0.0,0.0,1,1,,1.0
32,43236.47294589179,0.0,0.0,1,1,,1.0
32,43236.47294589179,0.0,0.0,1,1,,1.0
32,43236.47294589179,0.0,0.0,1,1,,1.0
46,86472.94589178357,0.0,0.0,1,2,,1.0
46,86472.94589178357,0.0,0.0,1,2,,1.0
46,86472.94589178357,0.0,0.0,1,2,,1.0
46,86472.94589178357,0.0,0.0,1,2,,1.0
75,0.0,670165.3306613227,76744.73947895791,0,4,,1.0
75,0.0,583692.3847695391,71340.18036072144,0,4,,1.0
75,0.0,631252.50501002,69178.35671342685,0,4,,1.0
75,0.0,583692.3847695391,77825.65130260521,0,4,,1.0
52,291846.19238476956,2486.0971943887776,0.0,0,1,,1.0
52,291846.19238476956,2486.0971943887776,0.0,0,1,,1.0
52,291846.19238476956,2486.0971943887776,0.0,0,1,,1.0
52,291846.19238476956,2486.0971943887776,0.0,0,1,,1.0
62,0.0,0.0,57288.32665330661,0,1,,1.0
62,0.0,0.0,57288.32665330661,0,1,,1.0
62,0.0,0.0,57288.32665330661,0,1,,1.0
62,0.0,0.0,57288.32665330661,0,1,,1.0
63,324273.5470941884,0.0,0.0,0,1,,1.0
63,324273.5470941884,0.0,0.0,0,1,,1.0
63,324273.5470941884,0.0,0.0,0,1,,1.0
57,0.0,1130633.7675350702,0.0,0,1,,1.0
57,0.0,1121986.4729458918,0.0,0,1,,1.0
57,0.0,1131714.6793587175,0.0,0,1,,1.0
41,42155.561122244486,0.0,0.0,1,1,,1.0
41,42155.561122244486,0.0,0.0,1,1,,1.0
41,42155.561122244486,0.0,0.0,1,1,,1.0
19,0.0,0.0,0.0,0,4,,1.0
19,0.0,0.0,0.0,0,4,,1.0
19,0.0,0.0,0.0,0,4,,1.0
19,0.0,0.0,0.0,0,4,,1.0
19,0.0,0.0,0.0,0,4,,1.0
51,51883.76753507014,0.0,0.0,0,2,,1.0
51,35670.09018036072,0.0,0.0,0,2,,1.0
51,28103.70741482966,0.0,0.0,0,2,,1.0
62,43236.47294589179,0.0,0.0,1,2,,1.0
62,43236.47294589179,0.0,0.0,1,2,,1.0
62,43236.47294589179,0.0,0.0,1,2,,1.0
68,21.618236472945892,6874.599198396793,48641.03206412826,0,1,,1.0
68,32.427354709418836,6874.599198396793,48641.03206412826,0,1,,1.0
68,21.618236472945892,6874.599198396793,48641.03206412826,0,1,,1.0
23,41074.64929859719,0.0,0.0,0,2,,1.0
52,324273.5470941884,0.0,0.0,0,1,,1.0
52,324273.5470941884,0.0,0.0,0,1,,1.0
42,70259.26853707415,0.0,0.0,1,2,,1.0
42,68097.44488977955,0.0,0.0,1,2,,1.0
42,626928.8577154309,17294.589178356713,0.0,0,4,,1.0
42,805279.3086172345,23780.06012024048,0.0,0,4,,1.0
42,594501.5030060121,23780.06012024048,0.0,0,4,,1.0
50,54045.59118236473,0.0,0.0,0,3,,1.0
50,54045.59118236473,0.0,0.0,0,3,,1.0
50,54045.59118236473,0.0,0.0,0,3,,1.0
49,42155.561122244486,0.0,0.0,0,3,,1.0
49,43236.47294589179,0.0,0.0,0,3,,1.0
49,29184.619238476953,0.0,0.0,0,3,,1.0
55,41074.64929859719,0.0,0.0,0,5,,1.0
55,41074.64929859719,0.0,0.0,0,5,,1.0
55,41074.64929859719,0.0,0.0,0,5,,1.0
55,41074.64929859719,0.0,0.0,0,5,,1.0
55,41074.64929859719,0.0,0.0,0,5,,1.0
67,0.0,461657.4398797595,0.0,1,1,,1.0
67,0.0,461657.4398797595,0.0,1,1,,1.0
60,0.0,0.0,0.0,0,2,,1.0
52,171864.97995991984,270.22795591182364,0.0,1,1,,1.0
52,170784.06813627254,129.70941883767534,0.0,1,1,,1.0
69,0.0,0.0,12970.941883767535,1,2,,1.0
73,34589.178356713426,0.0,12970.941883767535,0,2,,1.0
73,34589.178356713426,0.0,10809.118236472947,0,2,,1.0
73,34589.178356713426,0.0,11890.03006012024,0,2,,1.0
68,0.0,0.0,10809.118236472947,1,2,,1.0
68,0.0,0.0,10809.118236472947,1,2,,1.0
68,0.0,0.0,10809.118236472947,1,2,,1.0
36,0.0,0.0,0.0,1,2,,1.0
36,0.0,0.0,0.0,1,2,,1.0
36,0.0,0.0,0.0,1,2,,1.0
36,0.0,0.0,0.0,1,2,,1.0
53,10809.118236472947,0.0,0.0,1,2,,1.0
53,10809.118236472947,0.0,0.0,1,2,,1.0
53,10809.118236472947,0.0,0.0,1,2,,1.0
81,0.0,0.0,74582.91583166333,1,1,,1.0
81,0.0,0.0,76744.73947895791,1,1,,1.0
61,0.0,0.0,0.0,1,1,,1.0
61,0.0,0.0,0.0,1,1,,1.0
61,0.0,0.0,0.0,1,1,,1.0
61,0.0,0.0,0.0,1,1,,1.0
55,46479.208416833666,432.36472945891785,0.0,0,1,,1.0
61,0.0,155110.84669338676,0.0,0,1,,1.0
61,0.0,148625.37575150302,0.0,0,1,,1.0
61,0.0,150787.1993987976,0.0,0,1,,1.0
56,281037.0741482966,0.0,0.0,0,1,,1.0
