age,employment_income,interest_dividend_income,pension_income,is_female,race,transformed_networth,wgt
57,48641.03206412826,0.0,0.0,1,2,,1.0
57,48641.03206412826,0.0,0.0,1,2,,1.0
30,119981.2124248497,237.8006012024048,0.0,1,1,,1.0
30,119981.2124248497,237.8006012024048,0.0,1,1,,1.0
56,52964.67935871743,0.0,0.0,0,3,,1.0
56,39993.7374749499,0.0,0.0,0,3,,1.0
56,48641.03206412826,0.0,0.0,0,3,,1.0
70,0.0,0.0,21618.236472945893,0,2,,1.0
70,0.0,0.0,21618.236472945893,0,2,,1.0
57,64854.70941883767,0.0,16213.677354709418,0,1,,1.0
57,64854.70941883767,0.0,16213.677354709418,0,1,,1.0
57,64854.70941883767,0.0,16213.677354709418,0,1,,1.0
57,64854.70941883767,0.0,16213.677354709418,0,1,,1.0
32,43236.47294589179,0.0,0.0,1,1,,1.0
46,86472.94589178357,0.0,0.0,1,2,,1.0
46,86472.94589178357,0.0,0.0,1,2,,1.0
75,0.0,586935.120240481,65935.62124248497,0,4,,1.0
75,0.0,670165.3306613227,76744.73947895791,0,4,,1.0
75,0.0,583692.3847695391,71340.18036072144,0,4,,1.0
75,0.0,631252.50501002,69178.35671342685,0,4,,1.0
52,291846.19238476956,2486.0971943887776,0.0,0,1,,1.0
62,0.0,0.0,57288.32665330661,0,1,,1.0
62,0.0,0.0,57288.32665330661,0,1,,1.0
62,0.0,0.0,57288.32665330661,0,1,,1.0
63,324273.5470941884,0.0,0.0,0,1,,1.0
63,324273.5470941884,0.0,0.0,0,1,,1.0
63,324273.5470941884,0.0,0.0,0,1,,1.0
63,324273.5470941884,0.0,0.0,0,1,,1.0
63,324273.5470941884,0.0,0.0,0,1,,1.0
57,0.0,1118743.7374749498,0.0,0,1,,1.0
57,0.0,1130633.7675350702,0.0,0,1,,1.0
57,0.0,1129552.8557114229,0.0,0,1,,1.0
57,0.0,1121986.4729458918,0.0,0,1,,1.0
41,42155.561122244486,0.0,0.0,1,1,,1.0
41,42155.561122244486,0.0,0.0,1,1,,1.0
41,42155.561122244486,0.0,0.0,1,1,,1.0
41,42155.561122244486,0.0,0.0,1,1,,1.0
41,42155.561122244486,0.0,0.0,1,1,,1.0
19,0.0,0.0,0.0,0,4,,1.0
19,0.0,0.0,0.0,0,4,,1.0
19,0.0,0.0,0.0,0,4,,1.0
51,51883.76753507014,0.0,0.0,0,2,,1.0
51,36751.00200400801,0.0,0.0,0,2,,1.0
51,35670.09018036072,0.0,0.0,0,2,,1.0
51,34589.178356713426,0.0,0.0,0,2,,1.0
51,28103.70741482966,0.0,0.0,0,2,,1.0
62,43236.47294589179,0.0,0.0,1,2,,1.0
62,43236.47294589179,0.0,0.0,1,2,,1.0
62,43236.47294589179,0.0,0.0,1,2,,1.0
68,32.427354709418836,6874.599198396793,48641.03206412826,0,1,,1.0
68,21.618236472945892,6874.599198396793,48641.03206412826,0,1,,1.0
68,32.427354709418836,6874.599198396793,48641.03206412826,0,1,,1.0
68,32.427354709418836,6874.599198396793,48641.03206412826,0,1,,1.0
23,41074.64929859719,0.0,0.0,0,2,,1.0
23,41074.64929859719,0.0,0.0,0,2,,1.0
23,41074.64929859719,0.0,0.0,0,2,,1.0
23,41074.64929859719,0.0,0.0,0,2,,1.0
23,41074.64929859719,0.0,0.0,0,2,,1.0
52,324273.5470941884,0.0,0.0,0,1,,1.0
52,324273.5470941884,0.0,0.0,0,1,,1.0
52,324273.5470941884,0.0,0.0,0,1,,1.0
42,70259.26853707415,0.0,0.0,1,2,,1.0
42,58369.238476953906,0.0,0.0,1,2,,1.0
42,71340.18036072144,0.0,0.0,1,2,,1.0
42,56207.41482965932,0.0,0.0,1,2,,1.0
42,68097.44488977955,0.0,0.0,1,2,,1.0
42,583692.3847695391,21618.236472945893,0.0,0,4,,1.0
42,732858.2164328657,28103.70741482966,0.0,0,4,,1.0
42,594501.5030060121,23780.06012024048,0.0,0,4,,1.0
50,54045.59118236473,0.0,0.0,0,3,,1.0
50,54045.59118236473,0.0,0.0,0,3,,1.0
49,36751.00200400801,0.0,0.0,0,3,,1.0
49,43236.47294589179,0.0,0.0,0,3,,1.0
49,54045.59118236473,0.0,0.0,0,3,,1.0
55,41074.64929859719,0.0,0.0,0,5,,1.0
55,41074.64929859719,0.0,0.0,0,5,,1.0
55,41074.64929859719,0.0,0.0,0,5,,1.0
67,0.0,461765.53106212424,0.0,1,1,,1.0
67,0.0,487599.3236472946,0.0,1,1,,1.0
67,0.0,461657.4398797595,0.0,1,1,,1.0
67,0.0,461765.53106212424,0.0,1,1,,1.0
60,0.0,0.0,0.0,0,2,,1.0
60,0.0,0.0,0.0,0,2,,1.0
60,0.0,0.0,0.0,0,2,,1.0
60,0.0,0.0,0.0,0,2,,1.0
60,0.0,0.0,0.0,0,2,,1.0
52,171864.97995991984,421.5556112224449,0.0,1,1,,1.0
52,171864.97995991984,270.22795591182364,0.0,1,1,,1.0
52,171864.97995991984,562.0741482965932,0.0,1,1,,1.0
52,171864.97995991984,108.09118236472946,0.0,1,1,,1.0
52,170784.06813627254,129.70941883767534,0.0,1,1,,1.0
69,0.0,0.0,12970.941883767535,1,2,,1.0
69,0.0,0.0,12970.941883767535,1,2,,1.0
69,0.0,0.0,12970.941883767535,1,2,,1.0
69,0.0,0.0,12970.941883767535,1,2,,1.0
69,0.0,0.0,12970.941883767535,1,2,,1.0
73,34589.178356713426,0.0,12970.941883767535,0,2,,1.0
73,34589.178356713426,0.0,11890.03006012024,0,2,,1.0
73,34589.178356713426,0.0,11890.03006012024,0,2,,1.0
73,34589.178356713426,0.0,10809.118236472947,0,2,,1.0
68,0.0,0.0,10809.118236472947,1,2,,1.0
68,0.0,0.0,10809.118236472947,1,2,,1.0
68,0.0,0.0,10809.118236472947,1,2,,1.0
36,0.0,0.0,0.0,1,2,,1.0
36,0.0,0.0,0.0,1,2,,1.0
36,0.0,0.0,0.0,1,2,,1.0
53,10809.118236472947,0.0,0.0,1,2,,1.0
53,10809.118236472947,0.0,0.0,1,2,,1.0
53,10809.118236472947,0.0,0.0,1,2,,1.0
53,10809.118236472947,0.0,0.0,1,2,,1.0
81,0.0,0.0,71340.18036072144,1,1,,1.0
81,0.0,0.0,76744.73947895791,1,1,,1.0
81,0.0,0.0,73502.00400801603,1,1,,1.0
61,0.0,0.0,0.0,1,1,,1.0
61,0.0,0.0,0.0,1,1,,1.0
61,0.0,0.0,0.0,1,1,,1.0
55,46479.208416833666,432.36472945891785,0.0,0,1,,1.0
55,45398.29659318637,432.36472945891785,0.0,0,1,,1.0
55,45398.29659318637,432.36472945891785,0.0,0,1,,1.0
55,45398.29659318637,432.36472945891785,0.0,0,1,,1.0
55,46479.208416833666,432.36472945891785,0.0,0,1,,1.0
61,0.0,156191.75851703406,0.0,0,1,,1.0
61,0.0,155110.84669338676,0.0,0,1,,1.0
61,0.0,151868.1112224449,0.0,0,1,,1.0
56,281037.0741482966,0.0,0.0,0,1,,1.0
56,281037.0741482966,0.0,0.0,0,1,,1.0
56,281037.0741482966,0.0,0.0,0,1,,1.0
56,281037.0741482966,0.0,0.0,0,1,,1.0
39,241043.3366733467,162.13677354709418,0.0,0,4,,1.0
39,243205.16032064127,162.13677354709418,0.0,0,4,,1.0
39,219425.1002004008,162.13677354709418,0.0,0,4,,1.0
50,0.0,0.0,0.0,1,3,,1.0
50,0.0,0.0,0.0,1,3,,1.0
50,0.0,0.0,0.0,1,3,,1.0
57,135113.97795591183,0.0,0.0,0,1,,1.0
57,135113.97795591183,0.0,0.0,0,1,,1.0
57,135113.97795591183,0.0,0.0,0,1,,1.0
39,64854.70941883767,0.0,0.0,1,2,,1.0
39,64854.70941883767,0.0,0.0,1,2,,1.0
39,64854.70941883767,0.0,0.0,1,2,,1.0
25,56207.41482965932,0.0,0.0,0,1,,1.0
25,101605.71142284569,0.0,0.0,0,1,,1.0
25,57288.32665330661,0.0,0.0,0,1,,1.0
25,33508.26653306613,0.0,0.0,0,1,,1.0
54,75663.82765531063,0.0,0.0,1,2,,1.0
54,75663.82765531063,0.0,0.0,1,2,,1.0
54,75663.82765531063,0.0,0.0,1,2,,1.0
58,64854.70941883767,0.0,60531.0621242485,0,1,,1.0
58,64854.70941883767,0.0,61611.9739478958,0,1,,1.0
58,64854.70941883767,0.0,61611.9739478958,0,1,,1.0
58,64854.70941883767,0.0,61611.9739478958,0,1,,1.0
58,64854.70941883767,0.0,60531.0621242485,0,1,,1.0
34,6485.470941883767,0.0,0.0,0,1,,1.0
34,6485.470941883767,0.0,0.0,0,1,,1.0
34,6485.470941883767,0.0,0.0,0,1,,1.0
34,6485.470941883767,0.0,0.0,0,1,,1.0
63,136194.8897795591,0.0,0.0,1,1,,1.0
63,136194.8897795591,0.0,0.0,1,1,,1.0
63,136194.8897795591,0.0,0.0,1,1,,1.0
63,136194.8897795591,0.0,0.0,1,1,,1.0
65,64854.70941883767,15781.3126252505,0.0,0,1,,1.0
65,64854.70941883767,10376.753507014027,0.0,0,1,,1.0
58,317788.0761523046,14808.491983967935,0.0,0,1,,1.0
58,351296.34268537076,16970.315631262525,0.0,0,1,,1.0
58,309140.78156312625,24644.789579158318,0.0,0,1,,1.0
50,0.0,0.0,29184.619238476953,0,1,,1.0
50,0.0,0.0,21618.236472945893,0,1,,1.0
50,0.0,0.0,22699.148296593186,0,1,,1.0
53,129709.41883767534,0.0,0.0,0,1,,1.0
53,129709.41883767534,0.0,0.0,0,1,,1.0
53,129709.41883767534,0.0,0.0,0,1,,1.0
53,129709.41883767534,0.0,0.0,0,1,,1.0
53,129709.41883767534,0.0,0.0,0,1,,1.0
37,216182.36472945893,0.0,0.0,0,1,,1.0
37,216182.36472945893,0.0,0.0,0,1,,1.0
35,102686.62324649299,0.0,0.0,0,1,,1.0
35,102686.62324649299,0.0,0.0,0,1,,1.0
35,102686.62324649299,0.0,0.0,0,1,,1.0
33,264823.3967935872,75.66382765531063,0.0,0,1,,1.0
33,264823.3967935872,75.66382765531063,0.0,0,1,,1.0
33,264823.3967935872,75.66382765531063,0.0,0,1,,1.0
90,0.0,0.0,27022.795591182366,0,1,,1.0
90,0.0,0.0,25941.88376753507,0,1,,1.0
74,0.0,0.0,21618.236472945893,1,2,,1.0
