age,employment_income,interest_dividend_income,pension_income,is_female,race,transformed_networth,wgt
70,0.0,54.04559118236473,38804.73446893787,1,1,14.611773737137405,1.0
70,0.0,54.04559118236473,35021.54308617234,1,1,12.454103912367383,1.0
70,0.0,54.04559118236473,32427.35470941884,1,1,5.8916518427631175,1.0
70,0.0,54.04559118236473,35561.998997995994,1,1,12.82169062358818,1.0
46,9836.29759519038,0.0,0.0,0,1,12.82169062358818,1.0
46,9836.29759519038,0.0,0.0,0,1,12.107356672621473,1.0
46,9944.38877755511,0.0,0.0,0,1,13.87377946608914,1.0
46,9836.29759519038,0.0,0.0,0,1,15.199607506540726,1.0
68,0.0,326651.5531062124,76744.73947895791,0,1,12.206072645555174,1.0
68,0.0,381994.23847695393,72421.09218436874,0,1,11.005427631572848,1.0
74,0.0,12970.941883767537,139437.625250501,1,1,12.54325891289778,1.0
74,0.0,6377.379759519038,139437.625250501,1,1,14.231856257169085,1.0
74,0.0,5404.559118236473,139437.625250501,1,1,13.20560097597777,1.0
19,57288.32665330661,0.0,0.0,1,2,9.10719962534766,1.0
19,57288.32665330661,0.0,0.0,1,2,14.126371903363998,1.0
19,60531.0621242485,0.0,0.0,1,2,13.31099829625762,1.0
19,67016.53306613227,0.0,0.0,1,2,12.38839420234149,1.0
74,0.0,45938.75250501002,121386.39779559118,0,1,13.79734658733764,1.0
74,0.0,28644.163326653303,136519.1633266533,0,1,8.31385232747125,1.0
74,0.0,28644.163326653303,145382.6402805611,0,1,12.943236711512617,1.0
52,1026866.2324649298,230234.21843687372,0.0,0,1,13.1235626579838,1.0
52,1080911.823647295,225910.57114228455,0.0,0,1,12.876002374920482,1.0
52,969577.9058116232,204292.33466933868,0.0,0,1,15.6639653708689,1.0
52,1091720.9418837675,206454.1583166333,0.0,0,1,14.325575892784215,1.0
52,1064698.1462925852,214020.54108216436,0.0,0,1,13.830280936868697,1.0
60,0.0,0.0,25941.88376753507,1,2,-8.651374403467482,1.0
60,0.0,0.0,25941.88376753507,1,2,14.61589648919402,1.0
60,0.0,0.0,25941.88376753507,1,2,9.19217641171847,1.0
60,0.0,0.0,25941.88376753507,1,2,13.728862751239792,1.0
60,0.0,0.0,25941.88376753507,1,2,13.89061803045194,1.0
43,237800.6012024048,0.0,0.0,0,1,13.583578500618575,1.0
43,237800.6012024048,0.0,0.0,0,1,14.277733999891444,1.0
43,237800.6012024048,0.0,0.0,0,1,12.90817956746773,1.0
43,237800.6012024048,0.0,0.0,0,1,11.948596415177295,1.0
67,0.0,0.0,27022.795591182366,0,1,14.44975663060434,1.0
67,0.0,0.0,27022.795591182366,0,1,16.24912391336473,1.0
67,0.0,0.0,27022.795591182366,0,1,15.82809088313691,1.0
67,0.0,0.0,27022.795591182366,0,1,14.319311566793663,1.0
46,185916.83366733463,0.0,0.0,0,1,-11.623392918076377,1.0
46,185916.83366733463,0.0,0.0,0,1,12.57071575913014,1.0
46,185916.83366733463,0.0,0.0,0,1,14.020815951149268,1.0
46,185916.83366733463,0.0,0.0,0,1,14.536126980514,1.0
51,28103.70741482966,0.0,0.0,1,1,12.660327917817847,1.0
51,37831.91382765531,0.0,0.0,1,1,12.437184366509308,1.0
51,43236.47294589179,0.0,0.0,1,1,-13.175335262174032,1.0
51,35670.09018036072,0.0,0.0,1,1,11.034889664287377,1.0
77,0.0,2378.006012024048,16754.133266533066,0,1,10.491274218209853,1.0
77,0.0,2918.4619238476957,18699.7745490982,0,1,11.608417446512064,1.0
77,0.0,1405.185370741483,21077.780561122243,0,1,13.719440089214752,1.0
77,0.0,1405.185370741483,30481.71342685371,0,1,13.60244109222307,1.0
57,48641.03206412826,0.0,0.0,1,2,14.69854229030276,1.0
57,48641.03206412826,0.0,0.0,1,2,14.046923820761569,1.0
57,48641.03206412826,0.0,0.0,1,2,15.200679285796715,1.0
30,113495.74148296592,237.8006012024048,0.0,1,1,14.425276129585464,1.0
30,116738.4769539078,237.8006012024048,0.0,1,1,13.60058316142294,1.0
30,119981.2124248497,237.8006012024048,0.0,1,1,4.605270170991424,1.0
30,108091.18236472948,237.8006012024048,0.0,1,1,4.9558766472470746,1.0
56,47560.12024048096,0.0,0.0,0,3,15.172736496586884,1.0
56,29184.619238476957,0.0,0.0,0,3,14.579945308509124,1.0
70,0.0,0.0,22699.148296593183,0,2,12.792747581587337,1.0
70,0.0,0.0,22699.148296593183,0,2,13.360633542446884,1.0
70,0.0,0.0,21618.236472945893,0,2,14.4032972228667,1.0
70,0.0,0.0,22699.148296593183,0,2,9.602382464317582,1.0
57,64854.70941883767,0.0,16213.677354709418,0,1,11.034889664287377,1.0
57,64854.70941883767,0.0,16213.677354709418,0,1,13.32059109121803,1.0
57,64854.70941883767,0.0,16213.677354709418,0,1,13.637340372294224,1.0
32,43236.47294589179,0.0,0.0,1,1,13.14779717866494,1.0
32,43236.47294589179,0.0,0.0,1,1,10.772686677315937,1.0
32,43236.47294589179,0.0,0.0,1,1,14.476134546818926,1.0
32,43236.47294589179,0.0,0.0,1,1,10.576432026429323,1.0
32,43236.47294589179,0.0,0.0,1,1,14.253765488895846,1.0
46,86472.94589178357,0.0,0.0,1,2,13.498770357914363,1.0
46,86472.94589178357,0.0,0.0,1,2,9.579141500495348,1.0
