age,employment_income,interest_dividend_income,pension_income,is_female,race,transformed_networth,wgt
70,0.0,54.04559118236473,37183.36673346694,1,1,10.518727244949927,1.0
70,0.0,54.04559118236473,35021.54308617234,1,1,12.454103912367383,1.0
70,0.0,54.04559118236473,35561.998997995994,1,1,12.82169062358818,1.0
46,9836.29759519038,0.0,0.0,0,1,12.82169062358818,1.0
46,9944.38877755511,0.0,0.0,0,1,13.87377946608914,1.0
46,9836.29759519038,0.0,0.0,0,1,15.199607506540726,1.0
46,9836.29759519038,0.0,0.0,0,1,14.17069238776316,1.0
68,0.0,326651.5531062124,76744.73947895791,0,1,12.206072645555174,1.0
68,0.0,321030.81162324647,95120.24048096192,0,1,13.465385544891287,1.0
68,0.0,318577.14178356715,98362.9759519038,0,1,13.476142131432931,1.0
68,0.0,305465.68136272545,95120.24048096192,0,1,13.371408566243622,1.0
68,0.0,381994.23847695393,72421.09218436874,0,1,11.005427631572848,1.0
74,0.0,12970.941883767537,139437.625250501,1,1,12.54325891289778,1.0
74,0.0,9512.024048096191,139437.625250501,1,1,13.100526682799332,1.0
74,0.0,6377.379759519038,139437.625250501,1,1,14.143417646780824,1.0
19,57288.32665330661,0.0,0.0,1,2,9.10719962534766,1.0
19,57288.32665330661,0.0,0.0,1,2,14.126371903363998,1.0
19,60531.0621242485,0.0,0.0,1,2,13.31099829625762,1.0
19,67016.53306613227,0.0,0.0,1,2,12.38839420234149,1.0
19,60531.0621242485,0.0,0.0,1,2,12.474571898579793,1.0
74,0.0,39453.28156312625,142680.36072144288,0,1,13.11927862444643,1.0
74,0.0,45938.75250501002,121386.39779559118,0,1,13.79734658733764,1.0
74,0.0,28644.163326653303,136519.1633266533,0,1,8.31385232747125,1.0
74,0.0,52424.22344689379,134141.15731462926,0,1,10.505067540321193,1.0
52,1026866.2324649298,230234.21843687372,0.0,0,1,13.1235626579838,1.0
52,969577.9058116232,204292.33466933868,0.0,0,1,15.6639653708689,1.0
52,1091720.9418837675,206454.1583166333,0.0,0,1,14.325575892784215,1.0
60,0.0,0.0,25941.88376753507,1,2,14.61589648919402,1.0
60,0.0,0.0,25941.88376753507,1,2,9.19217641171847,1.0
60,0.0,0.0,25941.88376753507,1,2,13.728862751239792,1.0
60,0.0,0.0,25941.88376753507,1,2,13.89061803045194,1.0
43,237800.6012024048,0.0,0.0,0,1,-8.389359871559241,1.0
43,237800.6012024048,0.0,0.0,0,1,12.90817956746773,1.0
67,0.0,0.0,27022.795591182366,0,1,14.44975663060434,1.0
67,0.0,0.0,27022.795591182366,0,1,6.551082375853484,1.0
46,185916.83366733463,0.0,0.0,0,1,12.57071575913014,1.0
46,185916.83366733463,0.0,0.0,0,1,12.546750312646546,1.0
51,34589.178356713426,0.0,0.0,1,1,9.95246817702446,1.0
51,28103.70741482966,0.0,0.0,1,1,12.660327917817847,1.0
51,43236.47294589179,0.0,0.0,1,1,-13.175335262174032,1.0
77,0.0,3675.1002004008014,14592.309619238476,0,1,-11.691573616467831,1.0
77,0.0,2378.006012024048,16754.133266533066,0,1,10.491274218209853,1.0
77,0.0,1405.185370741483,21077.780561122243,0,1,13.719440089214752,1.0
77,0.0,1405.185370741483,30481.71342685371,0,1,13.60244109222307,1.0
57,48641.03206412826,0.0,0.0,1,2,14.69854229030276,1.0
57,48641.03206412826,0.0,0.0,1,2,14.850827996260197,1.0
57,48641.03206412826,0.0,0.0,1,2,15.050923888124611,1.0
57,48641.03206412826,0.0,0.0,1,2,14.046923820761569,1.0
30,113495.74148296592,237.8006012024048,0.0,1,1,14.425276129585464,1.0
30,116738.4769539078,237.8006012024048,0.0,1,1,13.60058316142294,1.0
30,108091.18236472948,237.8006012024048,0.0,1,1,4.9558766472470746,1.0
30,119981.2124248497,237.8006012024048,0.0,1,1,12.99996972919537,1.0
56,52964.67935871743,0.0,0.0,0,3,13.210374254730397,1.0
56,47560.12024048096,0.0,0.0,0,3,15.172736496586884,1.0
56,39993.7374749499,0.0,0.0,0,3,13.157344346303304,1.0
56,48641.03206412826,0.0,0.0,0,3,13.46396529184756,1.0
56,29184.619238476957,0.0,0.0,0,3,14.579945308509124,1.0
70,0.0,0.0,22699.148296593183,0,2,12.792747581587337,1.0
70,0.0,0.0,22699.148296593183,0,2,13.360633542446884,1.0
70,0.0,0.0,21618.236472945893,0,2,14.165885699754975,1.0
70,0.0,0.0,22699.148296593183,0,2,9.602382464317582,1.0
57,64854.70941883767,0.0,16213.677354709418,0,1,11.034889664287377,1.0
57,64854.70941883767,0.0,16213.677354709418,0,1,12.364784336703195,1.0
57,64854.70941883767,0.0,16213.677354709418,0,1,9.474241921661555,1.0
32,43236.47294589179,0.0,0.0,1,1,10.772686677315937,1.0
32,43236.47294589179,0.0,0.0,1,1,14.476134546818926,1.0
32,43236.47294589179,0.0,0.0,1,1,10.576432026429323,1.0
32,43236.47294589179,0.0,0.0,1,1,14.253765488895846,1.0
46,86472.94589178357,0.0,0.0,1,2,13.498770357914363,1.0
46,86472.94589178357,0.0,0.0,1,2,9.579141500495348,1.0
46,86472.94589178357,0.0,0.0,1,2,14.166871407079732,1.0
46,86472.94589178357,0.0,0.0,1,2,12.441934969267756,1.0
75,0.0,586935.120240481,65935.62124248497,0,4,10.900805123392814,1.0
75,0.0,583692.3847695391,77825.65130260521,0,4,-10.060491303172077,1.0
52,291846.1923847696,2486.0971943887776,0.0,0,1,14.475617884446288,1.0
52,291846.1923847696,2486.0971943887776,0.0,0,1,12.65905726961642,1.0
52,291846.1923847696,2486.0971943887776,0.0,0,1,18.03298678932932,1.0
52,291846.1923847696,2486.0971943887776,0.0,0,1,13.020950614666166,1.0
52,291846.1923847696,2486.0971943887776,0.0,0,1,9.066470014890596,1.0
62,0.0,0.0,57288.32665330661,0,1,15.599909672786064,1.0
62,0.0,0.0,57288.32665330661,0,1,11.570816943475071,1.0
62,0.0,0.0,57288.32665330661,0,1,-10.392067568295746,1.0
63,324273.5470941884,0.0,0.0,0,1,12.281736549472653,1.0
63,324273.5470941884,0.0,0.0,0,1,13.757139644639068,1.0
57,0.0,1118743.7374749498,0.0,0,1,12.5360955584844,1.0
57,0.0,1129552.8557114229,0.0,0,1,12.389227188645352,1.0
57,0.0,1131714.6793587175,0.0,0,1,14.048208322083925,1.0
41,42155.561122244486,0.0,0.0,1,1,11.002133174259788,1.0
41,42155.561122244486,0.0,0.0,1,1,12.751995106341983,1.0
19,0.0,0.0,0.0,0,4,13.744444109531567,1.0
19,0.0,0.0,0.0,0,4,5.480656284001007,1.0
51,36751.00200400801,0.0,0.0,0,2,13.190022025881635,1.0
51,34589.178356713426,0.0,0.0,0,2,11.015345068224777,1.0
62,43236.47294589179,0.0,0.0,1,2,12.87543929743127,1.0
62,43236.47294589179,0.0,0.0,1,2,14.116414830585724,1.0
62,43236.47294589179,0.0,0.0,1,2,12.729913206382427,1.0
62,43236.47294589179,0.0,0.0,1,2,16.878621066848215,1.0
68,32.42735470941884,6874.599198396793,48641.03206412826,0,1,13.07182769070086,1.0
68,32.42735470941884,6874.599198396793,48641.03206412826,0,1,9.5309735498339,1.0
68,21.61823647294589,6874.599198396793,48641.03206412826,0,1,12.572519686629622,1.0
23,41074.64929859719,0.0,0.0,0,2,14.14351850188814,1.0
23,41074.64929859719,0.0,0.0,0,2,10.26813066732967,1.0
23,41074.64929859719,0.0,0.0,0,2,12.90912065077351,1.0
23,41074.64929859719,0.0,0.0,0,2,15.71462854551285,1.0
52,324273.5470941884,0.0,0.0,0,1,14.03062193758187,1.0
52,324273.5470941884,0.0,0.0,0,1,11.297253928648653,1.0
52,324273.5470941884,0.0,0.0,0,1,-9.276128121281316,1.0
52,324273.5470941884,0.0,0.0,0,1,13.44415697948698,1.0
52,324273.5470941884,0.0,0.0,0,1,10.491274218209853,1.0
42,58369.23847695391,0.0,0.0,1,2,18.53592723195675,1.0
42,71340.18036072144,0.0,0.0,1,2,-10.398183795301742,1.0
42,56207.41482965932,0.0,0.0,1,2,16.909661810359044,1.0
42,583692.3847695391,21618.236472945893,0.0,0,4,10.373491182758428,1.0
42,732858.2164328657,28103.70741482966,0.0,0,4,11.265489221251004,1.0
42,626928.8577154309,17294.589178356713,0.0,0,4,12.281736549472653,1.0
42,805279.3086172345,23780.06012024048,0.0,0,4,10.936672036198395,1.0
50,54045.59118236473,0.0,0.0,0,3,8.411832725141123,1.0
50,54045.59118236473,0.0,0.0,0,3,13.388443805300698,1.0
50,54045.59118236473,0.0,0.0,0,3,13.703461054156902,1.0
