is_female,age,race,employment_income,interest_dividend_income,pension_income,networth,wgt,transformed_networth
0,52.0,1,1405185.4,5836.924,0.0,11488950.0,1142.7256463521858,16.95004344239712
0,30.0,3,70259.266,0.0,0.0,2501.0,2950.5379779110513,8.517593151405581
0,47.0,3,43236.473,0.0,0.0,11340.0,1986.4465480521435,10.029238759785768
1,80.0,1,12970.941,52964.68,48641.03,4530000.0,7611.589133273216,16.019379678019174
0,67.0,1,149165.83,2074269.8,0.0,201110000.0,44.30789538233451,19.81250976057073
0,64.0,1,83230.21,378.31915,5404.559,1700900.0,8300.741038026581,15.039815261262214
0,66.0,1,324273.56,11890.03,810683.9,109164300.0,101.86224331182366,19.2015118253071
0,28.0,1,0.0,0.0,25941.883,78420.0,3971.106390337341,11.96298145644692
0,76.0,1,0.0,4539.8296,43236.473,1916200.0,8604.76769522455,15.159001796758924
0,24.0,1,64854.71,0.0,0.0,9575300.0,7618.911375128102,16.767844604692797
0,66.0,1,37831.914,0.0,43236.473,922700.0,8100.670442129927,14.428206614126886
0,68.0,1,0.0,0.0,32427.355,401000.0,10082.01356619254,13.594863886850206
0,68.0,1,0.0,3891.2825,25941.883,505000.0,1090.5162553632476,13.825460888818425
1,70.0,1,24860.973,1080.9119,25941.883,566200.0,5221.763811538274,13.93984983222066
0,48.0,2,86472.945,0.0,0.0,-53200.0,6453.70848549686,-11.574960855978013
1,27.0,2,51883.766,0.0,0.0,-74259.0,3518.547190434413,-11.908461442045844
1,43.0,3,32427.355,0.0,0.0,80460.0,14015.655613563637,11.98866262610234
1,44.0,2,19456.412,0.0,8539.203,-30800.0,2544.8793104569536,-11.028417149785149
0,65.0,3,0.0,259418.84,0.0,52440000.0,46.85837752579398,18.468327397419717
0,31.0,2,49721.945,0.0,0.0,258800.0,5255.25020238374,13.15695802217256
0,47.0,1,169703.16,0.0,0.0,390500.0,8486.283097070833,13.568330428823463
1,66.0,1,65935.625,1621.3677,0.0,831500.0,4545.51355836985,14.324133758175426
0,40.0,3,138356.72,778.25653,0.0,887600.0,9864.842147388754,14.389423650600838
0,52.0,4,3242735.5,390209.16,0.0,41010000.0,465.7219825871149,18.22247367792819
0,36.0,4,75663.83,0.0,0.0,205000.0,5815.7479528287795,12.92391243868644
0,32.0,4,218344.19,432.36472,0.0,795800.0,3205.8784314710497,14.280250357535303
0,34.0,3,75663.83,0.0,0.0,33500.0,3277.152968583,11.11244789859587
1,35.0,3,11890.03,0.0,0.0,121510.0,5489.013244339096,12.400899023479536
1,56.0,2,0.0,0.0,8647.295,71.0,2404.78245554787,4.9558766472470746
0,64.0,1,88634.77,691.78357,0.0,1513650.0,931.3408708559696,14.923181691120838
1,80.0,1,0.0,4972.1943,25941.883,597000.0,9827.785121800316,13.992819572935383
1,57.0,1,33508.266,0.0,0.0,167180.0,10814.16335859519,12.719973535822035
0,61.0,1,0.0,0.0,0.0,901000.0,9046.655192810234,14.404407717150727
0,66.0,3,123223.945,0.0,0.0,334200.0,1991.286735906449,13.412642075705614
0,73.0,1,0.0,0.0,10809.118,6170.0,11193.444332202747,9.42060130402642
0,53.0,1,59450.15,0.0,0.0,-38400.0,9919.16705117738,-11.248959919305303
0,44.0,1,129709.42,0.0,0.0,292900.0,8994.724083546225,13.280733713378684
1,34.0,2,37831.914,0.0,0.0,14020.0,5165.561267913265,10.2413873424204
0,43.0,1,237800.6,0.0,0.0,22666100.0,2203.16836073048,17.62952815471971
0,94.0,1,0.0,48100.574,111333.914,3325100.0,4773.299662848657,15.71015748736778
0,77.0,1,0.0,1967.2595,94039.33,1275500.0,8247.766411868917,14.7519959971241
0,70.0,1,0.0,0.0,43560.746,2041480.0,5016.308783034102,15.222332773535683
0,68.0,1,0.0,381994.25,72421.09,43740180.0,671.7729155681716,18.28692486899071
0,27.0,1,194564.12,0.0,0.0,287100.0,10423.414040664838,13.260733046672131
1,40.0,4,118900.3,0.0,0.0,196350.0,2518.5677489569325,12.880801240572586
0,28.0,3,44317.387,0.0,0.0,69150.0,2662.0758783905944,11.837180517705132
0,42.0,1,0.0,2486.0972,0.0,2921000.0,3808.526496719408,15.580583761929852
0,55.0,1,237800.6,545.8605,0.0,2653651.0,13042.58057064078,15.484594166164229
0,38.0,3,141599.45,1080.9119,0.0,297650.0,7291.519045012292,13.296820759144303
0,39.0,1,216182.36,0.0,0.0,216000.0,8623.717285886012,12.976180867231603
1,40.0,3,0.0,0.0,0.0,2400.0,1600.5084888627716,8.476371240298757
1,67.0,1,0.0,216.18236,45398.297,388800.0,9813.135757947262,13.56396753213002
0,26.0,1,74582.914,0.0,0.0,129100.0,19536.749524057213,12.461489757409678
0,57.0,1,702592.7,11565.757,0.0,9890000.0,131.93857075677911,16.800181884158842
1,43.0,3,37831.914,0.0,0.0,5210.0,4584.7699385681535,9.251482324517465
1,74.0,1,0.0,0.0,18375.502,17720.0,1761.139937293737,10.4755964055152
0,63.0,1,718806.4,349891.16,0.0,31894000.0,470.44337621667927,17.97107564285
0,45.0,2,64854.71,0.0,0.0,48800.0,5351.604734784878,11.488632772506165
