0,1,2,3,4,5,6
0,0.4252278,0,0.22011289,-5.1993375,-5.1993375,13.446204
0,-1.0752065,2,0.36034718,0.72183627,-5.1993375,16.733435
0,0.3641905,0,0.6487243,0.41974106,-5.1993375,13.877979
0,0.18547967,0,0.20594123,-5.1993375,-5.1993375,13.024549
0,-1.0208884,0,-5.1990023,0.38572595,0.38950518,14.610146
0,-1.0580995,3,0.7023155,0.64168686,0.38009742,17.851025
1,0.30054197,0,0.49093705,-5.1993375,-5.1993375,13.284109
1,-0.96742153,0,-5.199009,0.3481497,-5.1993375,19.812983
0,0.5627963,0,0.2536062,-5.1993375,-5.1993375,8.886386
0,-0.96742153,0,1.1644964,-5.1993375,1.0713613,18.52516
1,-0.96742153,0,-5.198979,0.4501102,-5.1993375,12.873763
0,0.6975072,0,0.2707583,-5.1993375,0.7896988,10.024707
1,0.13084763,3,0.4018782,0.8560422,-5.1993375,12.999964
0,-0.07408731,0,0.885458,-5.1993375,-5.1993375,-9.892671
1,1.0194926,0,0.84987354,-5.1993375,-5.1993375,13.9170885
1,-1.0208884,1,0.35615864,0.9406355,0.8827388,17.559425
0,0.6271963,0,-5.198994,0.5667227,-5.1993375,14.473063
0,-1.0208884,0,0.27527687,-5.1993375,-5.1993375,13.225398
1,0.4935534,0,0.4668033,0.489809,-5.1993375,15.967518
0,-1.0208884,1,0.38843027,0.593642,0.8995338,19.12823
0,-1.0208884,0,0.34548503,1.3614622,-5.1993375,16.409735
0,-0.96742153,0,-5.1989074,-5.1993375,-5.1993375,11.8413
1,-0.96742153,0,-5.1990004,0.7809259,-5.1993375,16.915884
1,0.9167929,0,0.34548503,-5.1993375,-5.1993375,9.807937
0,0.96342283,0,1.2014811,-5.1993375,-5.1993375,13.398666
1,-1.0208884,0,0.38843027,1.0758657,-5.1993375,16.636097
0,-1.0752065,3,0.4668033,1.1230015,-5.1993375,15.833964
0,-1.0208884,0,0.3379031,0.90640455,-5.1993375,19.101118
1,-1.0208884,0,0.82446706,1.0632367,-5.1993375,18.27927
0,0.4252278,0,0.4352971,-5.1993375,-5.1993375,11.544931
1,-1.0208884,0,0.4668033,1.2228901,-5.1993375,14.6187
1,0.4252278,0,1.0041312,-5.1993375,-5.1993375,13.577682
1,0.6975072,0,1.255007,0.78777647,-5.1993375,17.190536
0,-1.0752065,3,0.3562153,0.70553005,-5.1993375,20.018213
