0,1,2,3,4,5,6
0,0.4252278,0,0.24067141,-5.1993375,0.43900126,13.497253
0,-1.0208884,0,0.34548503,0.69630986,0.3736213,16.67141
0,0.3641905,0,0.6176681,0.35666692,-5.1993375,13.778928
0,0.18547967,0,0.24067141,-5.1993375,0.5163563,13.116176
0,-1.0208884,0,-5.198977,0.3776296,-5.1993375,14.613281
0,-1.0208884,0,0.66921306,0.60361505,-5.1993375,17.745829
1,0.30054197,0,0.4668033,-5.1993375,-5.1993375,13.24661
1,-0.96742153,0,-5.199012,0.3481497,-5.1993375,19.817915
0,0.5627963,1,0.28664193,-5.1993375,-5.1993375,8.952408
0,-0.96742153,0,1.1315565,-5.1993375,-5.1993375,18.42272
1,-0.96742153,0,-5.198978,0.45807835,-5.1993375,12.866
0,0.6975072,0,0.26788375,-5.1993375,0.44629914,10.030472
1,0.13084763,3,0.40455604,0.85390735,-5.1993375,12.994209
0,-0.07408731,0,0.89203835,-5.1993375,-5.1993375,-9.89365
1,0.9766952,0,0.84987354,-5.1993375,0.36136955,13.929591
1,-1.0208884,0,0.32090634,0.8903042,-5.1993375,17.436012
0,0.6271963,0,-5.198979,0.56300366,-5.1993375,14.451609
0,-1.0208884,0,0.27439147,-5.1993375,-5.1993375,13.233619
1,0.4935534,0,0.4668033,0.49932092,-5.1993375,16.009415
0,-1.0208884,0,0.37359083,0.5683795,-5.1993375,19.085575
0,-1.0208884,0,0.34548503,1.3719682,-5.1993375,16.435455
0,-0.96742153,0,-5.198913,-5.1993375,-5.1993375,11.896889
1,-0.97149986,0,-5.199005,0.7813385,-5.1993375,16.85563
1,0.9014156,0,0.33607414,-5.1993375,-5.1993375,9.796712
0,0.96342283,0,1.2409081,-5.1993375,0.9127741,13.495364
1,-1.058119,3,0.4088052,1.106773,-5.1993375,16.734915
0,-1.0752065,3,0.4668033,1.1275148,-5.1993375,15.846378
0,-1.0208884,3,0.34548503,0.9001878,-5.1993375,19.079758
1,-1.0208884,0,0.8304974,1.0641879,-5.1993375,18.302162
0,0.4252278,0,0.43900126,-5.1993375,-5.1993375,11.57836
1,-1.0208884,0,0.4668033,1.2254483,-5.1993375,14.615574
1,0.4252278,0,0.99766093,-5.1993375,-5.1993375,13.564735
1,0.6975072,1,1.2709099,0.8173864,-5.1993375,17.276262
0,-1.0208884,0,0.333524,0.68484765,0.5163563,19.960867
1,1.4112931,0,0.84987354,0.35863906,-5.1993375,9.255608
0,1.0978448,0,0.54815775,-5.1993375,-5.1993375,13.639764
1,-0.36553147,0,0.23996037,-5.1993375,-5.1993375,11.107803
0,0.311803,0,0.20594123,-5.1993375,-5.1993375,5.9474173
1,-0.22262958,0,0.2536062,-5.1993375,-5.1993375,13.65479
1,0.4935534,0,0.27439147,-5.1993375,0.6502735,-10.76759
