0,1,2,3,4,5,6
0,0.4252278,0,0.2536062,-5.1993375,-5.1993375,13.510718
0,-1.0208884,0,0.34548503,0.68478763,-5.1993375,16.602348
0,0.31709236,0,0.6518349,0.4011313,-5.1993375,13.873801
0,0.18547967,0,0.23216541,-5.1993375,-5.1993375,13.099623
0,-1.0208884,0,-5.1989727,-5.1993375,-5.1993375,14.510845
0,-1.0752065,3,0.7023155,0.6337034,-5.1993375,17.831667
1,0.30054197,0,0.49922964,-5.1993375,-5.1993375,13.291892
1,-0.96742153,0,-5.1990056,0.3776296,-5.1993375,19.912867
0,0.5627963,0,0.26788375,-5.1993375,-5.1993375,8.951051
0,-0.96742153,0,1.1768335,-5.1993375,-5.1993375,18.527664
1,-0.96742153,0,-5.198974,0.45114264,-5.1993375,12.872429
0,0.6975072,0,0.2681792,-5.1993375,1.0336467,10.044468
1,0.13084763,0,0.37359083,0.8230246,0.42441845,12.901063
0,-0.044181526,0,0.90422916,-5.1993375,-5.1993375,-9.863029
1,1.0272466,0,0.84987354,-5.1993375,-5.1993375,13.931517
1,-1.0729836,3,0.366873,0.94074565,-5.1993375,17.594028
0,0.6271963,0,-5.198959,0.53981805,-5.1993375,14.407022
0,-1.0208884,0,0.2748621,-5.1993375,-5.1993375,13.214884
1,0.4935534,0,0.4668033,0.4805372,-5.1993375,15.918648
0,-1.0208884,0,0.38843027,0.58647317,-5.1993375,19.085464
0,-1.0208884,0,0.34548503,1.3621836,1.1546148,16.42272
0,-0.96742153,0,-5.198923,-5.1993375,-5.1993375,11.921307
1,-0.96863705,0,-5.1989975,0.7723761,-5.1993375,16.867159
1,0.9014156,0,0.34548503,-5.1993375,-5.1993375,9.805243
0,0.96342283,0,1.2458955,-5.1993375,0.75633323,13.496174
1,-1.0208884,1,0.38843027,1.0986506,-5.1993375,16.719679
0,-1.0752065,3,0.4668033,1.115038,-5.1993375,15.804343
0,-1.0208884,0,0.34548503,0.9127741,-5.1993375,19.100578
1,-1.0208884,0,0.8486672,1.0840116,-5.1993375,18.2989
0,0.4252278,0,0.46607602,-5.1993375,-5.1993375,11.620443
1,-1.0208884,0,0.48648039,1.2475325,-5.1993375,14.678549
1,0.4252278,0,1.026804,-5.1993375,0.5163563,13.642333
1,0.6975072,0,1.2559968,0.78470176,0.94365615,17.19271
0,-1.0208884,3,0.34548503,0.6981588,-5.1993375,19.977144
1,1.4112931,0,0.8319769,0.3481497,-5.1993375,9.2393
0,1.1588923,0,0.4668033,-5.1993375,-5.1993375,13.471381
1,-0.36553147,0,0.25127116,-5.1993375,-5.1993375,11.125783
0,0.30054197,0,0.22566475,-5.1993375,0.5163563,6.018956
1,-0.22262958,0,0.2536062,-5.1993375,-5.1993375,13.654919
1,0.4935534,0,0.28091082,-5.1993375,-5.1993375,-10.792733
0,-0.96742153,0,0.24067141,-5.1993375,-5.1993375,9.232572
1,-1.0208884,0,0.6241447,1.5086765,-5.1993375,16.022375
0,0.4252278,0,0.4668033,-5.1993375,-5.1993375,-8.882942
1,-1.0208884,0,0.7952878,0.8187847,-5.1993375,16.636702
0,0.4252278,0,0.70881534,-5.1993375,0.38343975,-11.463368
0,-0.16891196,0,0.4668033,-5.1993375,-5.1993375,19.684864
1,-0.16891196,0,-5.198948,-5.1993375,-5.1993375,17.686188
0,0.6975072,0,0.6241447,-5.1993375,0.5163563,0.8813736
1,0.07534531,0,-5.1989017,-5.1993375,0.43900126,5.617833
1,-0.36553147,0,0.22897765,-5.1993375,0.48648039,6.1021037
0,-0.1156778,0,0.49754217,-5.1993375,-5.1993375,14.072306
0,0.7748329,0,-5.198892,-5.1993375,-5.1993375,16.376936
0,0.6271963,0,0.41436034,-5.1993375,-5.1993375,9.793203
1,-0.5020738,0,0.64913553,0.87351507,-5.1993375,14.318235
0,0.13084763,0,0.22583401,-5.1993375,-5.1993375,13.172585
1,-1.0208884,0,0.7195732,1.3105665,-5.1993375,17.454937
1,0.23808934,0,0.30316806,-5.1993375,1.6395385,14.566522
1,-0.96742153,0,1.0304891,-5.1993375,-5.1993375,15.207685
0,0.23808934,0,0.4668033,-5.1993375,0.94365615,14.765129
1,0.9616846,0,0.5834958,-5.1993375,-5.1993375,-10.775333
0,0.5627963,0,0.40045682,-5.1993375,0.45981973,12.499471
0,0.18547967,0,0.9606191,-5.1993375,-5.1993375,15.1700325
1,-1.0405319,3,0.366873,1.022466,-5.1993375,19.544601
1,0.5627963,0,-5.198918,-5.1993375,0.6847631,13.8682575
1,0.4252278,0,0.48648039,-5.1993375,-5.1993375,9.462186
1,-1.0683969,3,0.3602266,0.7266863,-5.1993375,20.01841
0,0.7748329,0,1.1489936,-5.1993375,-5.1993375,13.508268
0,0.96342283,0,0.65517855,-5.1993375,0.41588992,12.491461
0,-0.4101694,0,-5.1990085,0.7186357,-5.1993375,12.872997
1,-0.45564035,0,0.45532092,-5.1993375,-5.1993375,9.981693
1,-0.22262958,0,-5.1988606,-5.1993375,-5.1993375,-11.486624
1,0.4252278,0,0.44730532,-5.1993375,-5.1993375,10.542848
1,-1.0208884,3,0.39128548,0.5708478,-5.1993375,15.257511
1,0.18547967,0,0.30316806,-5.1993375,-5.1993375,-10.774187
1,0.4252278,0,0.34548503,-5.1993375,0.3838963,-12.66672
0,0.3641905,0,0.22262958,-5.1993375,-5.1993375,-11.155472
0,0.6271963,0,1.1784849,-5.1993375,-5.1993375,9.167996
1,1.0978448,0,0.76366013,-5.1993375,-5.1993375,10.281718
0,0.96342283,0,0.6487243,-5.1993375,-5.1993375,13.198541
0,-0.96742153,0,0.49223703,-5.1993375,-5.1993375,12.617573
1,-1.0208884,0,0.68793863,0.8074076,0.77992433,19.942999
1,0.5627963,0,0.70462334,-5.1993375,-5.1993375,10.2845955
0,0.016310107,0,0.7023155,0.8849256,0.84987354,16.185068
0,-0.26788375,0,0.2625148,-5.1993375,-5.1993375,11.293898
1,-0.96742153,0,-5.198918,-5.1993375,-5.1993375,13.738277
1,-0.45564035,0,1.0576462,0.76976144,0.3682152,14.478906
1,-0.96742153,0,0.24617867,-5.1993375,-5.1993375,13.654689
1,1.337127,0,0.4125946,-5.1993375,-5.1993375,10.32614
0,-1.0208884,0,0.54815775,0.95670456,0.48648039,18.835745
1,-0.16891196,0,0.26256514,-5.1993375,-5.1993375,14.066576
1,-0.96742153,0,-5.198875,-5.1993375,-5.1993375,-11.803191
0,1.0978448,0,0.54815775,-5.1993375,-5.1993375,10.276398
1,-0.03513513,0,-5.1989346,-5.1993375,1.9278523,12.554755
1,0.4252278,0,0.9815403,-5.1993375,-5.1993375,13.881981
0,0.96342283,0,0.4668033,-5.1993375,-5.1993375,11.6017885
1,-0.96742153,0,0.22262958,-5.1993375,-5.1993375,9.16103
0,-0.45564035,0,-5.198895,-5.1993375,-5.1993375,13.097482
0,0.6271963,0,0.49922964,-5.1993375,0.45208144,9.494298
0,-0.96742153,0,0.2317882,-5.1993375,-5.1993375,11.638779
0,0.4935534,0,0.3516382,-5.1993375,-5.1993375,12.300754
1,-1.0249336,3,0.38843027,0.6353701,-5.1993375,20.02338
0,-1.0752065,2,1.2669681,0.83197075,-5.1993375,16.311089
0,2.256745,0,0.30316806,-5.1993375,-5.1993375,11.787158
0,-0.96891624,0,-5.1993375,0.442486,-5.1993375,17.921257
0,-1.0208884,0,0.7480095,1.004599,-5.1993375,17.457056
1,0.016310107,0,0.24067141,-5.1993375,0.52969044,8.318173
1,0.13084763,0,0.34548503,-5.1993375,0.34160125,7.148858
1,-1.0208884,0,0.32615182,0.51008004,-5.1993375,16.551743
0,-1.0752065,3,0.37359083,1.4981288,-5.1993375,18.613861
1,-1.0208884,0,-5.1989846,0.36086833,-5.1993375,11.729983
1,0.6975072,0,0.82183343,-5.1993375,-5.1993375,8.943988
0,-0.26788375,0,0.27404097,-5.1993375,-5.1993375,9.501975
1,0.30054197,0,0.9659928,-5.1993375,-5.1993375,12.033159
1,-1.0208884,3,0.4668033,0.7907307,-5.1993375,18.278795
0,1.4865369,0,0.22289616,-5.1993375,0.56573844,14.777547
0,-1.0208884,0,0.5004377,1.119445,-5.1993375,15.052425
0,0.4935534,0,0.6241447,-5.1993375,-5.1993375,11.070112
0,0.6975072,0,0.49418676,0.60013175,-5.1993375,19.984352
1,-1.0208884,0,0.35615864,0.65648586,-5.1993375,18.534649
1,0.5627963,0,0.22959244,-5.1993375,-5.1993375,11.7745695
1,0.3641905,0,-5.1988745,-5.1993375,-5.1993375,9.380158
0,0.4935534,0,-5.198942,-5.1993375,-5.1993375,-10.510605
1,-0.96742153,0,-5.1989207,-5.1993375,0.44551498,9.096113
1,-1.0208884,0,0.4088052,0.6249952,0.61199576,19.970074
0,0.9014156,0,1.0932733,-5.1993375,-5.1993375,13.61688
0,1.659093,0,0.26203912,-5.1993375,-5.1993375,10.036818
1,-0.5020738,0,0.36335477,0.36122483,-5.1993375,16.011776
0,0.18547967,0,0.378122,-5.1993375,-5.1993375,13.627788
0,1.1794018,2,0.88539433,0.8126968,-5.1993375,13.2818165
0,1.337127,1,0.50777435,0.48231584,0.6847631,11.625174
1,-1.0208884,0,1.0596821,1.4188268,-5.1993375,19.7038
1,0.23808934,0,0.2755825,-5.1993375,-5.1993375,13.651045
0,0.18547967,0,0.50777435,1.1551528,0.48648039,15.746899
1,-1.0208884,3,0.8004961,0.87689555,-5.1993375,17.55912
0,-0.96742153,0,0.7286236,-5.1993375,-5.1993375,14.552902
0,0.5627963,0,0.30316806,-5.1993375,-5.1993375,0.8813736
0,-0.22262958,0,0.24067141,-5.1993375,0.59840405,14.093175
0,0.4252278,0,0.44730532,-5.1993375,-5.1993375,15.180305
0,-0.5020738,0,1.0596821,1.5650032,-5.1993375,16.43027
1,0.96342283,0,0.60419995,-5.1993375,-5.1993375,-13.167514
0,0.5627963,0,-5.1988654,-5.1993375,-5.1993375,10.958503
0,0.4935534,0,-5.198879,-5.1993375,-5.1993375,11.502601
1,-1.0208884,0,0.38843027,0.7246968,-5.1993375,19.973925
1,-0.1156778,0,0.87135404,0.6222254,-5.1993375,16.67416
0,0.6975072,0,0.8004961,-5.1993375,-5.1993375,-10.287756
0,-1.0208884,0,0.68793863,0.63563174,1.430715,18.818264
1,-0.36553147,0,-5.198894,-5.1993375,-5.1993375,-12.198954
0,1.0978448,0,0.2536062,-5.1993375,-5.1993375,14.427647
1,-1.0208884,0,0.34548503,0.43756878,-5.1993375,19.885506
1,0.6975072,0,-5.198868,-5.1993375,-5.1993375,12.183637
0,-0.1156778,0,0.54815775,-5.1993375,0.75633323,13.610677
1,-0.96742153,0,-5.1993375,0.9588532,0.70392185,16.607777
0,-1.0578878,2,0.4088052,0.70208776,-5.1993375,16.278223
1,0.3641905,0,-5.1989784,1.4496329,-5.1993375,15.650643
1,1.4112931,0,1.0208883,-5.1993375,-5.1993375,9.442707
0,0.4252278,0,-5.198864,-5.1993375,-5.1993375,11.129388
1,0.30054197,0,-5.198873,-5.1993375,-5.1993375,-7.7722273
0,-0.03513513,0,0.22906446,-5.1993375,-5.1993375,0.8813736
1,-1.0208884,0,1.4778147,0.5362242,-5.1993375,19.99776
0,1.337127,0,0.8004961,-5.1993375,-5.1993375,13.590445
0,-1.0208884,4,0.3756052,0.66967446,0.6847631,19.254786
1,-1.0567268,3,0.7542973,1.3690076,0.94387805,17.254133
1,0.13084763,0,0.6241447,-5.1993375,-5.1993375,9.768733
1,1.0272466,0,0.23220956,-5.1993375,-5.1993375,12.519205
0,1.0978448,0,0.7480095,-5.1993375,-5.1993375,10.8197975
0,0.9014156,0,0.2536062,-5.1993375,-5.1993375,13.849202
0,1.2612822,0,0.9815403,-5.1993375,0.41140324,10.313435
1,0.7748329,0,0.4088052,-5.1993375,-5.1993375,11.826237
0,0.5627963,0,0.42935124,-5.1993375,-5.1993375,9.975309
0,0.6975072,0,0.6801353,-5.1993375,-5.1993375,12.770977
0,0.30054197,0,0.64064366,-5.1993375,-5.1993375,0.0
