0,1,2,3,4,5,6
0,0.4252278,0,0.2444451,-5.1993375,0.97143567,13.493142
0,-1.0208884,0,0.34548503,0.6984796,-5.1993375,16.648134
0,0.30054197,3,0.66981405,0.41974106,-5.1993375,13.916389
0,0.18547967,0,0.24067141,-5.1993375,-5.1993375,13.108606
0,-1.0208884,0,-5.198981,0.3776296,-5.1993375,14.612796
0,-1.0208884,0,0.65960157,0.58647317,-5.1993375,17.677216
1,0.30054197,0,0.51734585,-5.1993375,1.6234274,13.328456
1,-0.9777715,0,-5.199004,0.38572595,-5.1993375,19.909712
0,0.5627963,0,0.27096245,-5.1993375,0.34029147,8.931013
0,-0.96742153,0,1.1622388,-5.1993375,-5.1993375,18.52754
1,-0.96742153,0,-5.1989536,0.43569884,-5.1993375,12.853901
0,0.6975072,0,0.2702764,-5.1993375,-5.1993375,10.043839
1,0.13084763,0,0.3616032,0.81894606,-5.1993375,12.9092865
0,-0.03513513,0,0.8743167,-5.1993375,-5.1993375,-9.934362
1,1.0272466,0,0.84987354,-5.1993375,-5.1993375,13.918414
1,-1.0208884,0,0.333524,0.90377253,-5.1993375,17.446024
0,0.6271963,0,-5.198967,0.5668189,-5.1993375,14.4734745
0,-1.0208884,0,0.27077752,-5.1993375,-5.1993375,13.223566
1,0.4935534,3,0.49922964,0.5249764,0.34772786,16.042236
0,-1.071908,3,0.38949797,0.60251874,-5.1993375,19.135866
0,-1.0208884,0,0.34548503,1.3655216,-5.1993375,16.43552
0,-0.96742153,0,-5.1989474,-5.1993375,1.2723242,11.922217
1,-1.0208884,0,-5.1993375,0.78775275,-5.1993375,16.879688
1,0.9014156,0,0.33479342,-5.1993375,0.6287243,9.787932
0,0.96342283,0,1.2127495,-5.1993375,-5.1993375,13.4051895
1,-1.0208884,0,0.38843027,1.0719185,0.590949,16.669851
0,-1.0752065,0,0.43900126,1.0847908,0.6408593,15.731728
0,-1.0208884,0,0.333524,0.9090748,-5.1993375,19.093092
1,-1.0208884,0,0.8298132,1.0631224,1.0444089,18.257063
0,0.4252278,0,0.4538807,-5.1993375,0.5163563,11.616316
1,-1.0208884,0,0.48392823,1.2393326,-5.1993375,14.649857
1,0.4252278,0,1.0208883,-5.1993375,-5.1993375,13.622057
1,0.6975072,0,1.2569629,0.8008056,-5.1993375,17.201895
0,-1.0208884,0,0.333524,0.6830287,-5.1993375,19.898
1,1.4112931,0,0.848398,0.3481497,1.523418,9.231196
0,1.0978448,0,0.54815775,-5.1993375,-5.1993375,13.631633
1,-0.36553147,0,0.24067141,-5.1993375,-5.1993375,11.12562
0,0.30054197,0,0.22635138,-5.1993375,0.9161563,6.025318
1,-0.22262958,0,0.24067141,-5.1993375,-5.1993375,13.638019
1,0.4935534,0,0.27439147,-5.1993375,-5.1993375,-10.827301
0,-0.96742153,0,0.20594123,-5.1993375,-5.1993375,9.1116295
1,-1.0208884,0,0.6241447,1.51374,-5.1993375,15.994884
0,0.4252278,0,0.4668033,-5.1993375,-5.1993375,-8.887795
1,-1.0208884,0,0.7849087,0.81504434,-5.1993375,16.670397
0,0.4252278,0,0.7023155,-5.1993375,-5.1993375,-11.472093
0,-0.16891196,0,0.4668033,-5.1993375,-5.1993375,19.704576
1,-0.16891196,0,-5.198945,-5.1993375,-5.1993375,17.695719
0,0.6975072,0,0.6241447,-5.1993375,-5.1993375,0.8813736
1,0.07534531,0,-5.1989045,-5.1993375,0.99379975,5.676252
1,-0.36553147,0,0.24067141,-5.1993375,-5.1993375,6.105881
0,-0.1156778,0,0.4949605,-5.1993375,-5.1993375,14.056717
0,0.7748329,0,-5.1989136,-5.1993375,-5.1993375,16.491785
0,0.6963072,0,0.41683868,-5.1993375,0.8827388,9.799834
1,-0.5020738,0,0.6536006,0.8612698,-5.1993375,14.33319
0,0.13084763,0,0.23164843,-5.1993375,-5.1993375,13.214297
1,-1.0208884,0,0.73592985,1.3446925,-5.1993375,17.529392
1,0.23808934,0,0.30019742,-5.1993375,-5.1993375,14.537762
1,-0.96742153,0,1.0261658,-5.1993375,0.54524416,15.219103
0,0.23808934,0,0.4668033,-5.1993375,-5.1993375,14.778477
1,0.96342283,0,0.54815775,-5.1993375,-5.1993375,-10.832285
0,0.5627963,0,0.4046321,-5.1993375,-5.1993375,12.501619
0,0.18547967,0,0.9662774,-5.1993375,0.5163563,15.190871
1,-1.0208884,0,0.32356575,0.9541595,-5.1993375,19.387653
1,0.5627963,0,-5.19889,-5.1993375,-5.1993375,13.872783
1,0.4252278,0,0.49922964,-5.1993375,-5.1993375,9.482955
1,-1.0208884,0,0.34548503,0.70553005,-5.1993375,19.96277
0,0.7748329,0,1.2153721,-5.1993375,-5.1993375,13.633983
0,0.96342283,0,0.65429485,-5.1993375,-5.1993375,12.474063
0,-0.4101694,0,-5.198995,0.7208511,-5.1993375,12.879226
1,-0.43792295,0,0.4668033,-5.1993375,-5.1993375,9.989386
1,-0.26585302,0,-5.198899,-5.1993375,0.3675395,-11.474002
1,0.4252278,0,0.47225818,-5.1993375,-5.1993375,10.626018
1,-1.0208884,1,0.38843027,0.56735563,0.5163563,15.200395
1,0.18547967,0,0.30316806,-5.1993375,-5.1993375,-10.802061
1,0.4252278,0,0.33459145,-5.1993375,-5.1993375,-12.669136
0,0.3641905,0,0.20594123,-5.1993375,-5.1993375,-11.159302
0,0.6271963,0,1.1641117,-5.1993375,-5.1993375,9.150122
1,1.0978448,0,0.721125,-5.1993375,-5.1993375,10.237017
0,0.96342283,0,0.6241447,-5.1993375,-5.1993375,13.14937
0,-0.96742153,0,0.49842605,-5.1993375,-5.1993375,12.587924
1,-1.0208884,0,0.68793863,0.79351246,-5.1993375,19.905487
1,0.5627963,0,0.69038874,-5.1993375,-5.1993375,10.283125
0,0.016310107,0,0.68793863,0.8901171,0.45981973,16.19743
0,-0.26788375,0,0.30316806,-5.1993375,-5.1993375,11.360858
1,-0.96742153,0,-5.198906,-5.1993375,-5.1993375,13.692347
1,-0.45118842,0,0.9821969,0.70553005,-5.1993375,14.380378
1,-0.96742153,0,0.25290576,-5.1993375,-5.1993375,13.658415
1,1.337127,0,0.39815623,-5.1993375,-5.1993375,10.273023
0,-1.0208884,0,0.54815775,0.9474028,0.4208712,18.844122
1,-0.16891196,0,0.27439147,-5.1993375,-5.1993375,14.108685
1,-0.96742153,0,-5.198893,-5.1993375,-5.1993375,-11.811833
0,1.0978448,0,0.5834958,-5.1993375,0.59897774,10.298723
1,-0.03513513,0,-5.1989064,-5.1993375,-5.1993375,12.56273
1,0.4252278,0,0.9558832,-5.1993375,-5.1993375,13.848442
0,0.96342283,0,0.4668033,-5.1993375,-5.1993375,11.618547
1,-0.96742153,0,0.2536062,-5.1993375,-5.1993375,9.247831
0,-0.45564035,0,-5.198901,-5.1993375,-5.1993375,13.134777
0,0.6271963,0,0.48648039,-5.1993375,-5.1993375,9.458026
0,-0.96742153,0,0.23376428,-5.1993375,-5.1993375,11.6227865
0,0.4935534,0,0.333524,-5.1993375,-5.1993375,12.2565775
1,-1.0208884,0,0.3562097,0.61868143,-5.1993375,19.983772
0,-1.0208884,0,1.2153721,0.78709567,-5.1993375,16.186684
0,2.256745,0,0.27439147,-5.1993375,-5.1993375,11.760459
0,-1.0061843,0,-5.199011,0.4482662,-5.1993375,17.989208
0,-1.0406477,0,0.76639146,1.0251225,0.37855548,17.528566
1,0.016310107,0,0.2536062,-5.1993375,0.61199576,8.33097
1,0.13084763,0,0.35250658,-5.1993375,-5.1993375,7.150996
