0,1,2,3,4,5,6
0,0.4252278,0,0.23865233,-5.1993375,0.94365615,13.494409
0,-1.0208884,0,0.3388615,0.678137,-5.1993375,16.615257
0,0.3287459,0,0.64230597,0.40081194,-5.1993375,13.856411
0,0.18547967,0,0.23167421,-5.1993375,-5.1993375,13.103192
0,-1.0208884,0,-5.198966,0.36285022,-5.1993375,14.603875
0,-1.0208884,0,0.6855474,0.610455,-5.1993375,17.751022
1,0.30054197,0,0.52346903,-5.1993375,-5.1993375,13.326809
1,-0.96742153,0,-5.1993375,0.3776296,0.3548205,19.938707
0,0.5627963,0,0.2644605,-5.1993375,-5.1993375,8.923768
0,-0.96742153,0,1.1761613,-5.1993375,-5.1993375,18.541733
1,-1.0208884,0,-5.1989837,0.46121463,-5.1993375,12.880377
0,0.6975072,0,0.2536062,-5.1993375,-5.1993375,9.982318
1,0.13084763,0,0.3728353,0.8258769,0.6806399,12.92268
0,-0.07408731,0,0.8815147,-5.1993375,-5.1993375,-9.903771
1,1.0028762,0,0.84987354,-5.1993375,0.38107184,13.917007
1,-1.0208884,0,0.34548503,0.9243158,-5.1993375,17.540537
0,0.6271963,0,-5.1989903,0.568755,-5.1993375,14.448588
0,-1.0208884,0,0.25753513,-5.1993375,-5.1993375,13.202665
1,0.4935534,0,0.44789445,0.45385897,-5.1993375,15.85045
0,-1.0752065,3,0.40835908,0.5965156,-5.1993375,19.128227
0,-1.0208884,0,0.31821927,1.3232864,-5.1993375,16.329866
0,-0.96742153,0,-5.198921,-5.1993375,-5.1993375,11.913575
1,-0.96742153,0,-5.1989913,0.76734406,-5.1993375,16.826086
1,0.90197027,0,0.34548503,-5.1993375,0.38671213,9.796282
0,0.96342283,0,1.2153721,-5.1993375,-5.1993375,13.471912
1,-1.0208884,0,0.38843027,1.0750507,-5.1993375,16.647324
0,-1.0208884,0,0.41254616,1.0385534,-5.1993375,15.58887
0,-1.0208884,0,0.34026152,0.9127741,1.1542876,19.091476
1,-1.0208884,0,0.8468978,1.0769585,-5.1993375,18.29657
0,0.4252278,0,0.4560882,-5.1993375,-5.1993375,11.613515
1,-1.0208884,0,0.4806947,1.240393,-5.1993375,14.672433
1,0.4252278,0,1.0094119,-5.1993375,-5.1993375,13.594034
1,0.6975072,0,1.2474083,0.7799167,-5.1993375,17.182947
0,-1.0208884,0,0.34107256,0.69960374,-5.1993375,19.982609
1,1.4112931,0,0.84987354,0.35208297,-5.1993375,9.229673
0,1.0978448,0,0.54815775,-5.1993375,0.8282397,13.635937
1,-0.36553147,0,0.2384578,-5.1993375,-5.1993375,11.121035
0,0.30054197,0,0.22402032,-5.1993375,0.61199576,5.995388
1,-0.22262958,0,0.23972265,-5.1993375,-5.1993375,13.634729
1,0.4935534,0,0.27439147,-5.1993375,0.66898733,-10.795461
0,-0.96742153,0,0.23763451,-5.1993375,-5.1993375,9.238836
1,-1.0208884,0,0.6241447,1.5207331,1.3580748,16.017023
0,0.4252278,0,0.46317935,-5.1993375,-5.1993375,-8.967454
1,-1.0208884,0,0.7502538,0.76976144,-5.1993375,16.528992
0,0.4252278,0,0.7023155,-5.1993375,-5.1993375,-11.473842
0,-0.16891196,0,0.4668033,-5.1993375,-5.1993375,19.692478
1,-0.16891196,0,-5.1989374,-5.1993375,-5.1993375,17.70732
0,0.6975072,0,0.6241447,-5.1993375,-5.1993375,0.8813736
1,0.07534531,0,-5.1988654,-5.1993375,-5.1993375,5.298342
1,-0.36553147,0,0.20594123,-5.1993375,-5.1993375,5.975917
0,-0.1156778,0,0.4816815,-5.1993375,-5.1993375,14.040838
0,0.7748329,0,-5.198897,-5.1993375,-5.1993375,16.359295
0,0.6271963,0,0.41529715,-5.1993375,-5.1993375,9.807384
1,-0.45564035,4,0.6487243,0.8618672,-5.1993375,14.328067
0,0.13084763,0,0.23642746,-5.1993375,0.99379975,13.2148285
1,-1.0208884,3,0.7353512,1.3270822,-5.1993375,17.498043
1,0.23808934,0,0.30316806,-5.1993375,-5.1993375,14.615763
1,-0.96742153,0,1.0393047,-5.1993375,-5.1993375,15.233731
0,0.23808934,0,0.4668033,-5.1993375,-5.1993375,14.777404
1,0.96342283,0,0.57420003,-5.1993375,-5.1993375,-10.828925
0,0.5627963,0,0.38843027,-5.1993375,-5.1993375,12.437141
0,0.18547967,0,0.9428678,-5.1993375,-5.1993375,15.079384
1,-1.0208884,3,0.34548503,0.97190684,-5.1993375,19.421852
1,0.5627963,0,-5.198889,-5.1993375,-5.1993375,13.7857485
1,0.4252278,0,0.51922536,-5.1993375,0.35588554,9.504157
1,-1.0752065,3,0.36063582,0.7245539,-5.1993375,20.028095
0,0.7748329,0,1.2153721,-5.1993375,-5.1993375,13.622328
0,0.96342283,0,0.6480177,-5.1993375,-5.1993375,12.446244
0,-0.4101694,0,-5.1989884,0.72483593,-5.1993375,12.874228
1,-0.45564035,0,0.4668033,-5.1993375,-5.1993375,9.991604
1,-0.22262958,0,-5.198869,-5.1993375,-5.1993375,-11.48011
1,0.4252278,0,0.4668033,-5.1993375,0.7847767,10.603201
1,-1.0208884,0,0.3701362,0.5423352,0.9905946,15.15221
1,0.18547967,0,0.30316806,-5.1993375,-5.1993375,-10.8068075
1,0.4252278,0,0.34548503,-5.1993375,-5.1993375,-12.665973
0,0.3641905,0,0.20594123,-5.1993375,-5.1993375,-11.161903
0,0.6271963,0,1.1821003,-5.1993375,0.6502735,9.168436
1,1.0978448,0,0.71090835,-5.1993375,-5.1993375,10.2176075
0,0.96342283,0,0.6458854,-5.1993375,-5.1993375,13.200872
0,-0.96742153,0,0.50777435,-5.1993375,-5.1993375,12.6579685
1,-1.0208884,0,0.6675256,0.7708405,-5.1993375,19.872435
1,0.5627963,0,0.7023155,-5.1993375,1.2698241,10.310534
0,0.016310107,0,0.7023155,0.8980186,-5.1993375,16.191898
0,-0.26788375,0,0.30316806,-5.1993375,0.590949,11.409015
1,-0.96742153,0,-5.1989226,-5.1993375,-5.1993375,13.732003
1,-0.45564035,0,1.0423406,0.7860319,-5.1993375,14.496362
1,-0.96742153,0,0.24045062,-5.1993375,-5.1993375,13.629505
1,1.337127,0,0.41974106,-5.1993375,-5.1993375,10.327644
0,-1.0208884,0,0.54815775,0.95178145,-5.1993375,18.77573
1,-0.16891196,0,0.2536062,-5.1993375,-5.1993375,14.059805
1,-0.96742153,0,-5.198891,-5.1993375,-5.1993375,-11.800771
0,1.0978448,0,0.5812892,-5.1993375,-5.1993375,10.320055
1,-0.03513513,0,-5.198889,-5.1993375,-5.1993375,12.475614
1,0.4252278,0,0.9815403,-5.1993375,-5.1993375,13.892861
0,0.96342283,0,0.4668033,-5.1993375,-5.1993375,11.603755
1,-0.96742153,0,0.2536062,-5.1993375,-5.1993375,9.22539
0,-0.45564035,0,-5.19892,-5.1993375,-5.1993375,13.171186
0,0.6271963,0,0.4668033,-5.1993375,-5.1993375,9.431081
0,-0.96742153,0,0.20594123,-5.1993375,-5.1993375,11.563931
0,0.4935534,0,0.34548503,-5.1993375,-5.1993375,12.280257
1,-1.0208884,0,0.34548503,0.5983592,-5.1993375,19.912323
0,-1.0208884,0,1.2421021,0.79866064,-5.1993375,16.192497
0,2.256745,0,0.26962936,-5.1993375,-5.1993375,11.731974
0,-0.9819185,0,-5.1993375,0.44651154,0.54524416,17.983006
0,-1.0208884,3,0.78428674,1.0364816,-5.1993375,17.563753
1,0.016310107,0,0.2536062,-5.1993375,0.6502735,8.337534
1,0.13084763,0,0.333524,-5.1993375,-5.1993375,6.9407406
1,-1.0208884,0,0.34548503,0.52451885,1.0040298,16.633
0,-1.0208884,0,0.34548503,1.4663017,0.45981973,18.52911
1,-0.96742153,0,-5.1989727,0.3481497,-5.1993375,11.71167
1,0.6975072,0,0.81251335,-5.1993375,-5.1993375,8.938334
0,-0.25807112,0,0.22791597,-5.1993375,-5.1993375,9.406328
1,0.30054197,0,1.0093431,-5.1993375,-5.1993375,12.074107
1,-1.0208884,3,0.47998974,0.8050382,-5.1993375,18.310476
0,1.4865369,0,0.22262958,-5.1993375,-5.1993375,14.749462
0,-1.0693792,3,0.51922536,1.1340579,-5.1993375,15.087917
0,0.4935534,0,0.6241447,-5.1993375,-5.1993375,11.127949
0,0.6975072,0,0.4952587,0.6019261,-5.1993375,19.96615
1,-1.0208884,0,0.35167345,0.65648586,-5.1993375,18.53324
1,0.5627963,0,0.24067141,-5.1993375,0.45981973,11.789571
1,0.3641905,0,-5.198908,-5.1993375,1.4386369,9.383717
0,0.4935534,0,-5.1989202,-5.1993375,-5.1993375,-10.515229
1,-0.96742153,0,-5.1989083,-5.1993375,-5.1993375,9.095852
1,-1.0752065,3,0.42935124,0.65648586,-5.1993375,20.00766
0,0.9014156,0,1.1140618,-5.1993375,0.54524416,13.642312
0,1.659093,0,0.2524487,-5.1993375,-5.1993375,9.980606
1,-0.5020738,0,0.35428724,0.35552555,0.8603127,15.993714
0,0.18547967,0,0.35615864,-5.1993375,-5.1993375,13.574792
0,1.1794018,0,0.84987354,0.78463376,-5.1993375,13.222593
0,1.337127,0,0.4866457,0.41974106,-5.1993375,11.532146
1,-1.0208884,0,1.0543787,1.38313,-5.1993375,19.608257
1,0.23808934,0,0.28043717,-5.1993375,-5.1993375,13.651411
0,0.18547967,0,0.5163395,1.1616759,-5.1993375,15.798274
1,-1.0655377,3,0.8006021,0.89039576,-5.1993375,17.600103
0,-0.96742153,0,0.7414196,-5.1993375,-5.1993375,14.575883
0,0.5627963,0,0.30316806,-5.1993375,-5.1993375,0.8813736
0,-0.22262958,0,0.24067141,-5.1993375,-5.1993375,14.116485
0,0.4252278,0,0.42510867,-5.1993375,-5.1993375,15.0823145
0,-0.5020738,2,1.1001139,1.5963128,-5.1993375,16.560268
1,0.96342283,0,0.6241447,-5.1993375,-5.1993375,-13.16467
0,0.5627963,0,-5.198873,-5.1993375,-5.1993375,10.969789
0,0.4935534,0,-5.198884,-5.1993375,-5.1993375,11.511675
1,-1.0208884,0,0.38843027,0.7380889,-5.1993375,20.009924
1,-0.1156778,4,0.84987354,0.6246985,-5.1993375,16.640402
0,0.6975072,0,0.8004961,-5.1993375,-5.1993375,-10.2920885
0,-1.0645642,3,0.72330886,0.65648586,-5.1993375,18.88411
1,-0.36553147,0,-5.198873,-5.1993375,-5.1993375,-12.208415
0,1.0978448,0,0.24250875,-5.1993375,-5.1993375,14.39188
1,-1.0208884,0,0.34548503,0.43743336,-5.1993375,19.874554
1,0.6975072,0,-5.1988783,-5.1993375,-5.1993375,12.177161
0,-0.1156778,0,0.54815775,-5.1993375,-5.1993375,13.60683
1,-1.0208884,0,-5.1993375,0.9569086,-5.1993375,16.623241
0,-1.0650172,3,0.40211195,0.705564,-5.1993375,16.265116
1,0.3641905,0,-5.198985,1.4604234,-5.1993375,15.72671
1,1.4112931,0,0.98626375,-5.1993375,-5.1993375,9.368091
0,0.4252278,0,-5.198876,-5.1993375,-5.1993375,11.23594
1,0.30054197,0,-5.1988735,-5.1993375,-5.1993375,-7.659135
